Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,3 Year Low,3 Year High,5 Year Low,5 Year High,All Time Low,All Time High,Market Cap(Cr),Enterprise Value(Cr),1-Week Return,1-Month Return,3-Month Return(%),1-Year Return(%),3-Year Return,5-Year Return(%),10-Year Return(%),Price to Earnings,Median P/E,Price to Book,Median P/B,Earning Yield(%),Price earnings to growth,Dividend Yield(%),EV / EBITDA,Price / Sales,Price / Cash Flow,Earning Per Share,Book Value Per Share,Cash Flow Per Share,Free Cash Flow Per Share,Dividend Per Share,Delta
Hindustan Unilever Ltd.,500696,HINDUNILVR,INE030A01027,Consumer Staples,Household & Personal Products,2022-09-05,"2,600.60",-0.12,"1,901.55",2859.30,"1,756.00","2,859.30","1,169.00","2,859.30",100.50,"2,880.00","611,034.70","604,327.59",1.13,-1.04,13.47,-6.00,12.09,16.78,17.44,66.69,66.95,11.88,41.94,2.13,4.56,1.31,44.23,11.34,67.53,39.00,218.98,38.50,33.04,34.00,0.09
Infosys Ltd.,500209,INFY,INE009A01021,Technology,Software,2022-09-05,"1,461.30",0.57,"1,367.15","1,953.90",509.25,"1,953.90",436.83,"1,953.90",33.05,"1,953.90","614,873.84","587,194.35",-3.96,-8.66,-3.97,-14.07,21.17,26.56,17.35,27.59,21.61,7.67,5.27,5.59,3.07,2.12,17.13,4.80,25.74,52.94,190.39,56.98,52.57,31.00,0.25
Persistent Systems Ltd.,533179,PERSISTENT,INE262H01013,Technology,Software,2022-09-05,"3,402.30",-0.36,"3,102.00","4,987.50",420.00,"4,987.50",420.00,"4,987.50",140.40,"4,987.50","25,981.83","25,177.56",-3.50,-9.73,-10.49,-1.13,82.42,40.92,33.25,34.61,20.13,7.50,3.03,4.57,1.74,0.91,20.70,4.09,30.75,98.23,453.43,110.56,56.30,31.00,0.32
Divi's Laboratories Ltd.,532488,DIVISLAB,INE361B01024,Healthcare,Drugs & Pharma,2022-09-05,"3,592.75",-0.15,"3,365.55","5,425.10","1,570.50","5,425.10",691.25,"5,425.10",7.70,"5,425.10","95,442.59","92,801.58",0.15,-7.60,3.29,-31.02,29.26,38.34,20.50,30.73,38.30,7.68,7.85,4.21,1.35,0.83,22.95,10.31,49.92,116.98,468.24,72.02,44.77,30.00,0.34
Dr. Reddy's Laboratories Ltd.,500124,DRREDDY,INE089A01023,Healthcare,Drugs & Pharma,2022-09-05,"4,214.25",0.58,"3,654.00","5,078.80","2,495.05","5,614.60","1,872.95","5,614.60",216.00,"5,614.60","70,145.54","68,657.67",-0.21,1.60,-2.90,-13.97,17.43,13.93,9.63,23.43,32.93,3.46,3.49,7.61,1.16,0.71,13.19,3.42,24.96,179.70,"1,216.52",168.92,-0.59,30.00,0.17
Housing Development Finance Corpn. Ltd.,500010,HDFC,INE001A01036,Financial,Housing Finance,2022-09-05,"2,456.25",0.49,"2,026.00","3,021.10","1,473.10","3,021.10","1,473.10","3,021.10",27.22,"3,021.10","446,014.82","708,294.41",2.48,4.00,7.86,-10.96,5.36,6.95,13.02,19.50,23.67,2.46,3.24,6.77,1.62,1.22,14.76,8.78,-10.13,125.90,999.32,-242.84,82.91,30.00,0.19
Balkrishna Industries Ltd.,502355,BALKRISIND,INE787D01026,Automobile,Tyres & Tubes,2022-09-05,"1,974.50",-0.96,"1,743.00","2,724.40",677.60,"2,724.40",677.60,"2,724.40",0.50,"2,724.40","38,170.48","40,308.78",-3.56,-14.89,-12.88,-18.11,39.94,19.56,30.77,27.04,28.64,5.27,5.30,5.97,1.81,1.42,16.77,4.19,42.04,73.03,374.51,46.98,-27.60,28.00,0.28
Godfrey Phillips India Ltd.,500163,GODFRYPHLP,INE260B01028,Consumer Staples,Tobacco Products,2022-09-05,"1,059.95",-1.20,933.00,"1,409.85",732.00,"1,481.75",640.25,"1,481.75",46.83,"1,662.80","5,511.10","5,091.51",-5.68,-10.74,-11.65,8.27,2.28,0.39,5.37,11.81,15.53,1.81,2.22,14.26,0.45,2.64,6.56,1.60,11.52,90.01,588.27,92.05,92.18,28.00,0.25
Multi Commodity Exchange Of India Ltd.,534091,MCX,INE745G01035,Services,Exchange Services,2022-09-05,"1,272.00",-0.41,"1,143.00","2,135.00",805.05,"2,135.00",643.50,"2,135.00",238.15,"2,135.00","6,496.94","5,489.74",-0.75,-2.16,-5.29,-20.15,13.55,3.51,0.90,44.77,35.95,4.45,4.31,4.43,10.81,1.37,23.97,16.75,-35.23,28.45,286.32,-36.16,-19.86,27.60,0.40
Angel One Ltd.,543235,ANGELONE,INE732I01013,Financial,Brokerage Services,2022-09-05,"1,340.15",0.98,990.50,"2,022.00",,,,,222.20,"2,022.00","11,164.85","7,427.74",0.54,6.94,-9.91,8.60,,,,16.30,21.61,6.37,7.55,14.15,0.19,2.02,7.33,4.53,20.02,82.21,210.40,67.29,52.28,27.10,0.34
