Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,3 Year Low,3 Year High,5 Year Low,5 Year High,All Time Low,All Time High,Market Cap(Cr),Enterprise Value(Cr),1-Week Return,1-Month Return,3-Month Return(%),1-Year Return(%),3-Year Return,5-Year Return(%),10-Year Return(%),Price to Earnings,Median P/E,Price to Book,Median P/B,Earning Yield(%),Price earnings to growth,Dividend Yield(%),EV / EBITDA,Price / Sales,Price / Cash Flow,Earning Per Share,Book Value Per Share,Cash Flow Per Share,Free Cash Flow Per Share,Dividend Per Share,Delta
SKF India Ltd.,500472,SKFINDIA,INE640A01023,Capital Goods,Ball Bearings,2022-09-05,"4,890.20",-0.74,"2,855.35","4,990.00","1,230.00","4,990.00","1,230.00","4,990.00",25.25,"4,990.00","24,176.15","23,980.71",3.84,13.62,40.73,51.41,37.65,26.23,23.17,54.44,33.49,12.02,5.81,2.76,5.37,0.30,36.19,6.00,423.47,90.00,407.55,11.55,-0.16,14.50,0.02
Oil India Ltd.,533106,OIL,INE274J01014,Energy,Oil & Gas Exploration,2022-09-05,193.45,1.42,169.60,306.00,63.50,306.00,63.50,306.00,63.50,334.98,"20,961.55","34,992.31",1.15,2.93,-22.91,7.53,9.50,-1.21,-2.32,2.84,5.69,0.62,0.68,38.82,0.06,7.37,2.44,0.59,2.25,67.98,310.80,85.85,45.24,14.25,0.37
Alembic Pharmaceuticals Ltd.,533573,APLLTD,INE901L01018,Healthcare,Drugs & Pharma,2022-09-05,640.00,-0.61,635.20,864.05,434.80,"1,150.00",412.40,"1,150.00",31.00,"1,150.00","12,591.83","12,860.73",-1.69,-8.96,-12.44,-17.39,9.06,4.52,24.09,39.94,18.49,2.43,3.84,3.26,-11.80,1.56,18.31,2.40,8.60,16.04,263.47,74.45,44.68,14.00,0.26
Dhanuka Agritech Ltd.,507717,DHANUKA,INE435G01025,Chemicals,Pesticides,2022-09-05,740.55,3.00,662.75,860.00,261.00,"1,053.90",261.00,"1,053.90",1.20,"1,053.90","3,449.36","3,159.83",4.25,7.05,5.37,-9.80,33.55,1.69,23.46,16.42,17.59,3.41,3.86,9.93,1.44,1.89,10.66,2.29,33.08,44.96,216.74,22.39,13.66,14.00,0.14
Hindustan Petroleum Corporation Ltd.,500104,HINDPETRO,INE094A01015,Energy,Oil Refineries & Marketing,2022-09-05,238.65,0.13,206.50,354.80,150.00,354.80,150.00,485.40,20.99,493.00,"33,853.66","73,139.06",-1.16,-2.51,2.47,-13.52,-2.46,-12.92,13.58,,6.01,1.09,1.15,-6.52,,5.87,-24.22,0.08,2.14,-23.03,219.72,111.45,21.44,14.00,0.33
Polycab India Ltd.,542652,POLYCAB,INE455K01017,Capital Goods,Wires & cables,2022-09-05,"2,498.85",1.03,"2,043.85","2,820.05",570.00,"2,820.05",,,525.05,"2,820.05","37,369.26","35,943.05",3.76,5.23,1.83,11.94,60.58,,,35.44,24.80,6.52,4.70,4.04,1.47,0.56,23.02,2.83,73.04,70.46,383.10,34.23,2.17,14.00,0.11
Ratnamani Metals & Tubes Ltd.,520111,RATNAMANI,INE703B01027,Metals & Mining,Steel Tubes & Pipes,2022-09-05,"1,877.70",2.42,"1,237.07","1,939.00",477.03,"1,939.00",477.03,"1,939.00",0.92,"1,939.00","13,161.17","12,833.66",2.35,5.54,12.03,32.23,45.32,26.37,38.12,36.98,26.80,5.68,3.49,4.08,2.11,0.50,22.17,3.67,-46.51,51.23,333.82,-60.56,-86.90,14.00,0.03
Linde India Ltd.,523457,LINDEINDIA,INE473A01011,Chemicals,Indl.Gases,2022-09-05,"3,419.60",1.04,"2,258.70","4,192.35",378.00,"4,192.35",365.05,"4,192.35",7.03,"4,192.35","29,163.79","27,838.52",3.00,-4.27,12.08,36.78,90.26,52.86,23.42,78.98,57.32,10.30,3.32,1.69,0.67,0.40,46.28,12.83,49.52,43.31,332.09,69.05,76.00,13.50,0.18
Info Edge (India) Ltd.,532777,NAUKRI,INE663F01024,Services,E-Commerce,2022-09-05,"4,255.45",0.07,"3,313.00","7,465.40","1,580.00","7,465.40",950.00,"7,465.40",94.05,"7,465.40","54,884.03","54,022.95",-4.08,-0.06,11.13,-31.19,26.18,34.88,28.90,4.30,75.68,3.14,10.33,3.34,0.03,0.31,47.30,30.44,77.66,990.63,"1,356.53",54.91,849.51,13.00,0.43
Indian Oil Corporation Ltd.,530965,IOC,INE242A01010,Energy,Oil Refineries & Marketing,2022-09-05,70.95,-0.49,67.70,94.50,47.43,104.00,47.43,147.33,5.67,154.32,"100,260.79","214,259.98",-1.32,-0.35,-10.04,-5.90,-4.02,-13.08,5.73,5.36,7.50,0.72,0.94,16.59,1.22,11.83,4.78,0.12,4.08,13.25,98.43,26.76,19.54,12.60,0.25
KSB Ltd.,500249,KSB,INE999A01015,Capital Goods,Pumps & Compressors,2022-09-05,"1,942.50",-0.08,960.00,"1,985.70",386.00,"1,985.70",386.00,"1,985.70",18.58,"1,985.70","6,761.42","6,407.59",1.76,26.38,37.19,60.04,49.22,23.10,25.19,40.59,29.97,6.39,3.63,4.10,2.32,0.64,24.19,4.03,108.21,47.72,303.32,17.95,17.52,12.50,0.02
Tata Chemicals Ltd.,500770,TATACHEM,INE092A01019,Chemicals,Soda Ash,2022-09-05,"1,119.15",-0.06,773.35,"1,182.40",197.00,"1,182.40",197.00,"1,182.40",31.50,"1,182.40","28,511.05","32,694.80",0.77,17.71,19.61,33.07,24.96,14.03,13.89,18.29,12.10,1.51,1.33,7.32,3.44,1.12,11.02,2.09,17.34,61.18,740.50,64.54,2.14,12.50,0.05
Coromandel International Ltd.,506395,COROMANDEL,INE169A01031,Chemicals,Other Fertilisers,2022-09-05,"1,032.05",-1.28,709.35,"1,094.40",375.40,"1,094.40",336.50,"1,094.40",3.70,"1,094.40","30,325.26","28,970.17",-0.68,-0.61,9.11,29.13,39.52,19.18,13.41,18.04,17.71,4.46,4.22,8.85,0.71,1.16,11.46,1.43,14.59,57.51,232.91,70.80,61.03,12.00,0.06
Dr. Lal Pathlabs Ltd.,539524,LALPATHLAB,INE600L01024,Healthcare,Diagnostics Services,2022-09-05,"2,369.20",-2.87,"1,805.55","4,245.50","1,179.55","4,245.50",717.65,"4,245.50",696.50,"4,245.50","19,748.98","19,995.87",-10.15,-1.23,10.47,-42.13,23.55,23.52,,72.79,55.82,13.10,12.30,2.36,6.37,0.51,37.31,9.96,44.21,32.55,180.92,53.60,-4.13,12.00,0.44
Grindwell Norton Ltd.,506076,GRINDWELL,INE536A01023,Metals & Mining,Abrasives,2022-09-05,"2,168.00",-1.42,"1,359.30","2,284.00",369.20,"2,284.00",369.20,"2,284.00",5.63,"2,284.00","24,004.10","23,776.66",-2.36,9.19,25.77,58.16,57.56,40.16,33.16,74.10,39.45,14.56,6.10,2.09,3.41,0.55,48.22,10.87,128.65,29.25,148.83,16.85,7.30,12.00,0.05
Lux Industries Ltd.,539542,LUXIND,INE150G01020,Textiles,Cloth,2022-09-05,"1,824.75",0.48,"1,684.85","4,644.00",812.80,"4,644.00",812.80,"4,644.00",534.00,"4,644.00","5,494.25","5,658.84",3.40,-4.68,-8.02,-55.17,18.76,9.27,,16.84,29.86,4.04,7.71,8.34,0.40,0.66,11.86,2.26,-24.05,108.49,452.07,-76.03,-97.44,12.00,0.61
Power Finance Corporation Ltd.,532810,PFC,INE134E01011,Financial,SIDCs/SFCs,2022-09-05,114.45,-1.25,97.10,153.75,74.15,153.75,67.50,153.75,42.70,192.50,"30,215.73","682,695.50",-5.02,-3.58,2.55,-10.97,3.03,-1.32,3.56,2.17,3.42,0.40,0.54,9.92,0.04,10.48,10.09,0.40,18.51,52.84,288.84,6.18,-8.91,12.00,0.26
ZF Commercial Vehicle Control Systems India Ltd.,533023,ZFCVINDIA,INE342J01019,Automobile,Auto Ancillaries,2022-09-05,"9,991.05",3.54,"6,815.25","10,080.00","4,750.05","10,080.00","4,750.05","10,080.00",100.00,"10,080.00","18,915.61","17,313.37",2.26,14.41,31.08,42.66,17.88,12.92,20.21,103.31,71.43,8.69,6.88,1.63,-78.88,0.12,50.05,6.64,136.82,96.53,"1,147.47",72.89,6.81,12.00,0.01
Apollo Hospitals Enterprise Ltd.,508869,APOLLOHOSP,INE437A01024,Healthcare,Health Services,2022-09-05,"4,282.55",-0.69,"3,361.55","5,935.40","1,047.05","5,935.40",910.10,"5,935.40",27.00,"5,935.40","61,576.50","63,090.54",1.60,-2.58,19.33,-14.60,41.96,30.96,21.12,69.62,67.55,10.35,6.08,2.69,1.06,0.27,28.35,4.19,37.82,61.44,413.28,113.21,42.18,11.75,0.28
Mahindra & Mahindra Ltd.,500520,M&M,INE101A01026,Automobile,Cars & Multi Utility Vehicles,2022-09-05,"1,320.55",0.35,671.15,"1,330.65",245.40,"1,330.65",245.40,"1,330.65",6.36,"1,330.65","164,169.79","216,260.32",3.60,4.66,28.38,76.10,37.71,14.74,13.24,19.64,20.37,3.35,2.41,7.53,1.73,0.88,11.35,1.65,17.75,67.16,393.20,83.15,28.40,11.55,0.01
ITC Ltd.,500875,ITC,INE154A01025,Consumer Staples,Tobacco Products,2022-09-05,328.85,1.76,207.00,329.65,134.60,329.65,134.60,329.65,10.88,367.70,"407,540.19","383,377.24",5.10,6.25,20.59,56.15,10.57,3.04,6.35,24.91,21.54,6.21,5.06,6.13,3.06,3.50,15.97,5.81,25.83,13.20,52.94,12.80,12.15,11.50,0.00
Petronet LNG Ltd.,532522,PETRONET,INE347G01014,Energy,Natural Gas Utilities,2022-09-05,215.95,-0.25,190.25,243.55,170.40,302.00,170.40,302.00,6.00,302.00,"32,415.00","27,280.89",-1.46,1.17,-4.66,-6.03,-6.67,-0.64,10.55,9.28,14.49,2.26,3.22,19.09,0.65,5.32,4.86,0.66,9.34,23.29,95.67,23.13,22.68,11.50,0.11
Aditya Birla Sun Life AMC Ltd.,543374,ABSLAMC,INE404A01024,Financial,Asset Management Companies,2022-09-05,474.00,-0.01,375.00,722.90,,,,,375.00,722.90,"13,638.24","13,551.83",5.03,11.07,13.28,,,,,21.97,27.73,6.06,3.80,6.81,,2.42,15.58,10.54,24.22,21.55,78.16,19.55,21.47,11.45,0.34
EID-Parry (India) Ltd.,500125,EIDPARRY,INE126A01031,Consumer Staples,Sugar,2022-09-05,534.65,0.77,391.75,591.30,100.00,591.30,100.00,591.30,5.21,591.30,"9,488.66","8,383.27",0.92,-3.14,2.28,30.71,53.13,10.57,8.70,9.03,10.89,1.63,1.39,32.69,0.44,2.05,2.90,0.36,4.16,59.19,327.39,128.43,94.27,11.00,0.10
Indus Towers Ltd.,534816,INDUSTOWER,INE121J01017,Communication,Communication Equipment,2022-09-05,199.60,0.15,181.20,332.80,120.05,332.80,120.05,482.80,120.05,505.00,"53,777.47","56,564.59",-0.60,-1.82,-0.97,-11.54,-6.99,-11.98,,9.89,17.23,2.38,3.36,16.35,0.32,5.51,3.99,1.93,5.90,20.17,83.93,33.85,18.64,11.00,0.40
Kajaria Ceramics Ltd.,500233,KAJARIACER,INE217B01036,Materials,Ceramic tiles,2022-09-05,"1,134.50",-1.81,885.30,"1,379.00",295.40,"1,379.00",295.40,"1,379.00",1.41,"1,379.00","18,064.93","18,101.27",-3.18,-0.32,12.10,-5.32,35.43,10.16,29.25,42.29,39.97,8.14,6.18,3.50,3.31,0.97,25.37,4.35,42.45,26.77,139.01,26.73,10.51,11.00,0.18
Navin Fluorine International Ltd.,532504,NAVINFLUOR,INE048G01026,Chemicals,Organic Chemicals,2022-09-05,"4,252.15",-0.46,"3,202.50","4,553.75",685.00,"4,553.75",570.00,"4,553.75",6.00,"4,553.75","21,028.32","21,063.35",0.80,-1.59,13.07,3.92,80.61,45.01,53.83,74.67,27.57,10.97,5.92,1.96,5.35,0.26,50.46,13.79,281.28,56.83,386.92,15.09,-96.52,11.00,0.07
Nippon Life India Asset Management Ltd.,540767,NAM-INDIA,INE298J01013,Financial,Asset Management Companies,2022-09-05,294.90,1.22,259.00,476.50,201.00,476.50,,,120.20,476.50,"18,366.31","17,819.21",-4.28,-1.55,4.08,-29.66,2.16,,,27.14,35.29,5.27,6.69,6.01,2.56,3.73,19.00,13.91,31.69,10.86,55.90,9.32,11.62,11.00,0.38
Oil & Natural Gas Corporation Ltd.,500312,ONGC,INE213A01029,Energy,Oil & Gas Exploration,2022-09-05,133.40,0.49,117.50,194.95,50.00,194.95,50.00,212.90,10.57,314.67,"167,820.92","262,440.75",-2.38,-2.09,-12.01,8.37,3.88,-3.79,-3.01,3.26,7.65,0.63,0.77,26.74,0.26,3.02,2.92,0.28,2.15,40.92,212.28,62.00,35.71,10.50,0.32
United Breweries Ltd.,532478,UBL,INE686F01025,Consumer Staples,Beer,2022-09-05,"1,696.60",-0.50,"1,287.60","1,793.65",749.50,"1,793.65",749.50,"1,793.65",6.97,"1,793.65","45,079.76","44,167.43",5.02,5.24,11.68,7.95,8.46,16.20,10.19,90.77,87.29,11.00,10.53,1.62,9.31,0.62,49.01,2.88,50.11,18.78,154.98,34.02,26.82,10.50,0.05
Alkyl Amines Chemicals Ltd.,506767,ALKYLAMINE,INE150B01039,Chemicals,Organic Chemicals,2022-09-05,"2,971.25",-0.91,"2,506.20","4,210.00",305.92,"4,749.00",163.60,"4,749.00",0.84,"4,749.00","15,150.30","15,267.06",-1.06,-4.74,10.46,-28.09,112.51,76.41,63.29,66.37,24.13,14.18,6.83,2.15,1.90,0.34,43.89,9.33,74.02,44.68,209.11,40.07,-8.65,10.00,0.29
Astrazeneca Pharma India Ltd.,506820,ASTRAZEN,INE203A01020,Healthcare,Drugs & Pharma,2022-09-05,"3,051.20",0.85,"2,445.70","3,350.00","1,885.00","4,970.00",900.00,"4,970.00",31.45,"4,970.00","7,625.75","7,133.04",-2.17,0.28,3.39,-4.55,17.82,27.31,5.46,106.65,109.88,14.40,16.73,1.58,2.66,0.33,62.31,8.84,75.65,28.60,211.84,40.32,40.73,10.00,0.09
BEML Ltd.,500048,BEML,INE258A01016,Capital Goods,Other Machinery,2022-09-05,"1,813.35",-4.22,"1,107.00","2,085.00",369.50,"2,085.00",369.50,"2,085.00",10.05,"2,085.00","7,551.61","8,669.43",-1.30,26.37,31.87,34.89,31.59,-0.46,20.38,53.86,48.73,3.32,1.93,3.86,6.20,0.55,26.16,1.68,146.88,33.67,546.10,12.35,-29.68,10.00,0.13
Birla Corporation Ltd.,500335,BIRLACORPN,INE340A01012,Materials,Cement,2022-09-05,"1,005.05",3.74,823.00,"1,650.00",372.20,"1,650.00",372.20,"1,650.00",10.05,"1,650.00","7,739.42","10,863.28",2.19,2.88,8.95,-25.54,23.53,0.73,17.26,24.47,15.56,1.28,1.35,7.36,1.79,1.00,9.62,0.98,5.83,41.43,793.55,172.50,23.02,10.00,0.39
Blue Star Ltd.,500067,BLUESTARCO,INE472A01039,Consumer Discretionary,ACs & Refrigerators,2022-09-05,"1,111.40",1.80,787.95,"1,225.00",408.90,"1,225.00",408.90,"1,225.00",3.74,"1,225.00","10,704.33","10,581.58",2.32,10.00,10.85,41.48,16.27,7.89,20.52,46.67,52.58,9.79,8.80,3.86,5.09,0.90,22.72,1.54,116.60,23.80,113.42,9.53,-20.48,10.00,0.09
Graphite India Ltd.,509488,GRAPHITE,INE371A01025,Capital Goods,Refractories,2022-09-05,408.45,0.53,350.00,661.00,103.00,815.90,103.00,"1,127.00",2.96,"1,127.00","7,980.12","6,576.74",0.62,-7.74,-9.80,-36.25,15.23,9.45,17.98,21.03,16.75,1.60,1.87,12.11,0.43,2.45,10.80,2.43,-16.32,19.40,254.42,-25.03,-11.36,10.00,0.38
Grasim Industries Ltd.,500300,GRASIM,INE047A01021,Materials,Cement,2022-09-05,"1,710.75",1.35,"1,276.60","1,939.00",380.00,"1,939.00",380.00,"1,939.00",32.20,"1,939.00","112,621.31","166,266.53",2.12,8.32,27.72,13.26,35.08,7.89,11.18,14.37,21.82,1.44,1.13,10.88,0.67,0.58,7.63,1.08,16.00,118.73,"1,186.39",106.91,-83.87,10.00,0.12
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,500670,GNFC,INE113A01013,Chemicals,Nitrogenous Fertilizer.,2022-09-05,742.85,0.35,327.45,912.00,95.55,912.00,95.55,912.00,18.10,912.00,"11,545.28","10,250.42",-0.48,-3.46,12.32,121.15,61.90,19.15,25.34,5.66,6.57,1.35,0.96,28.55,0.21,1.35,3.42,1.16,5.87,131.26,550.70,126.54,126.57,10.00,0.19
Motilal Oswal Financial Services Ltd,532892,MOTILALOFS,INE338I01027,Financial,Misc. Fin.services,2022-09-05,777.55,0.95,714.00,"1,014.80",426.00,"1,188.00",426.00,"1,588.40",43.60,"1,588.40","11,485.59","12,115.77",0.86,2.22,-1.33,-4.02,10.61,-8.60,23.45,10.39,22.85,2.10,2.87,16.15,0.46,1.29,6.22,2.80,11.36,74.89,370.83,67.78,89.55,10.00,0.23
Pidilite Industries Ltd.,500331,PIDILITIND,INE318A01026,Chemicals,Misc.Chem.,2022-09-05,"2,832.75",-1.18,"1,988.55","2,895.00","1,185.55","2,895.00",748.75,"2,895.00",7.08,"2,895.00","143,988.39","145,457.46",6.22,10.91,29.02,21.71,27.69,27.63,30.43,107.59,69.67,21.46,16.25,1.30,10.33,0.35,70.27,12.99,150.71,26.38,132.30,18.80,10.81,10.00,0.02
Sun Pharmaceutical Industries Ltd.,524715,SUNPHARMA,INE044A01036,Healthcare,Drugs & Pharma,2022-09-05,884.60,1.73,733.70,967.05,312.00,967.05,312.00,967.05,7.13,"1,200.80","212,245.17","196,837.59",0.51,-3.69,2.25,12.06,27.53,12.06,10.33,54.59,39.54,4.24,3.22,5.03,-11.32,1.13,17.52,5.39,23.62,16.21,208.84,37.45,23.40,10.00,0.09
UPL Ltd.,512070,UPL,INE628A01036,Chemicals,Inorganic Chem.,2022-09-05,746.85,0.14,607.50,848.00,240.15,864.75,240.15,864.75,1.08,864.75,"56,059.13","74,897.58",-1.73,2.06,-2.96,-0.79,10.00,6.52,25.04,14.66,18.89,2.60,2.95,10.83,0.76,1.34,7.34,1.15,8.63,50.97,286.92,84.92,28.85,10.00,0.12
The Great Eastern Shipping Company Ltd.,500620,GESHIP,INE017A01032,Services,Shipping,2022-09-05,536.70,-5.31,265.00,585.00,162.00,585.00,162.00,585.00,13.60,625.80,"7,662.31","8,714.59",-2.58,4.46,31.32,49.21,30.29,6.00,8.13,7.14,9.84,0.90,0.65,20.27,0.60,1.85,4.10,1.87,5.79,75.25,595.96,92.64,44.54,9.90,0.08
Ajanta Pharma Ltd.,532331,AJANTPHARM,INE031B01049,Healthcare,Drugs & Pharma,2022-09-05,"1,346.30",-0.58,"1,061.77","1,577.53",602.27,"1,623.33",550.00,"1,623.33",1.82,"1,623.33","17,325.72","16,981.81",0.98,5.29,15.32,-8.77,24.70,11.07,33.91,24.28,24.28,5.03,4.78,6.10,2.98,0.47,16.22,4.89,30.83,55.69,269.04,65.81,57.23,9.50,0.15
Godrej Agrovet Ltd.,540743,GODREJAGRO,INE850D01014,Consumer Staples,Oil Cakes & Animal Feed,2022-09-05,522.10,0.12,441.00,688.95,265.05,746.80,,,265.05,746.80,"10,018.29","11,554.42",0.45,6.49,-0.52,-17.88,5.06,,,26.41,29.32,4.28,4.97,5.49,17.57,1.82,15.73,1.14,-83.45,19.74,121.69,-6.25,-22.76,9.50,0.24
Marico Ltd.,531642,MARICO,INE196A01026,Consumer Staples,Vegetable oils,2022-09-05,520.85,-0.52,455.65,607.70,233.80,607.70,233.80,607.70,4.43,607.70,"67,388.08","66,674.70",1.02,-2.01,1.44,-7.12,10.68,10.61,17.57,54.30,50.20,18.22,15.02,2.65,5.33,1.77,36.72,7.06,66.33,9.60,28.60,7.88,7.13,9.25,0.14
AIA Engineering Ltd.,532683,AIAENG,INE212H01026,Metals & Mining,Castings & Forgings,2022-09-05,"2,585.75",-0.42,"1,517.00","2,687.35","1,102.20","2,687.35","1,102.20","2,687.35",75.30,"2,687.35","24,400.68","22,918.43",1.58,5.84,15.07,23.30,19.34,14.49,22.49,36.92,31.58,4.93,4.49,4.30,4.26,0.35,24.55,6.34,-622.16,70.06,524.43,-4.16,-1.56,9.00,0.04
Aurobindo Pharma Ltd.,524804,AUROPHARMA,INE406A01037,Healthcare,Drugs & Pharma,2022-09-05,539.55,0.87,503.45,767.45,281.15,"1,063.90",281.15,"1,063.90",6.80,"1,063.90","31,614.32","29,128.19",-1.87,-5.52,2.11,-28.81,-3.43,-6.34,24.70,13.20,14.16,1.26,2.66,11.86,7.81,1.67,6.67,1.33,6.30,40.94,428.38,85.62,45.37,9.00,0.30
Dalmia Bharat Ltd.,542216,DALBHARAT,INE00R701025,Materials,Cement,2022-09-05,"1,550.60",1.04,"1,212.50","2,548.40",402.70,"2,548.40",,,402.70,"2,548.40","29,043.58","27,347.69",1.24,-0.72,23.77,-30.45,20.06,,,26.65,32.19,1.83,1.80,4.92,0.77,0.58,11.15,2.42,14.99,58.14,845.71,104.70,6.11,9.00,0.39
Deepak Fertilisers & Petrochemicals Corporation Ltd.,500645,DEEPAKFERT,INE501A01019,Chemicals,Misc.Chem.,2022-09-05,887.25,3.05,343.55,"1,000.00",55.27,"1,000.00",55.27,"1,000.00",11.73,"1,000.00","11,238.16","12,330.31",-7.00,5.68,33.40,110.57,125.60,19.38,22.13,11.42,11.73,2.54,0.86,13.24,0.24,1.01,6.65,1.28,9.28,77.70,349.78,100.42,5.34,9.00,0.11
Fine Organic Industries Ltd.,541557,FINEORG,INE686Y01026,Chemicals,Organic Chemicals,2022-09-05,"6,122.05",-0.37,"2,962.15","6,909.35","1,425.00","6,909.35",,,735.00,"6,909.35","18,764.98","18,666.22",-1.56,8.00,21.76,100.00,63.04,,,48.93,58.69,16.77,12.08,3.08,1.18,0.15,32.70,8.28,280.18,125.08,365.05,21.84,7.53,9.00,0.11
GAIL (India) Ltd.,532155,GAIL,INE129A01019,Energy,Natural Gas Utilities,2022-09-05,136.75,1.07,125.20,173.50,65.00,173.50,65.00,199.70,6.38,199.70,"59,942.99","64,377.52",1.64,-2.39,-7.35,-7.23,2.42,-0.80,3.09,4.48,9.10,0.91,1.23,25.94,0.21,7.31,3.54,0.53,6.23,30.50,150.47,21.68,5.50,9.00,0.21
Heidelberg Cement India Ltd.,500292,HEIDELBERG,INE578A01017,Materials,Cement,2022-09-05,186.10,-1.27,164.00,277.95,120.00,284.95,116.60,284.95,4.05,284.95,"4,219.54","4,080.88",-5.94,-0.59,1.42,-29.39,-1.80,8.43,15.94,17.94,18.00,2.61,3.42,9.53,0.62,4.83,9.12,1.82,13.98,10.38,71.35,13.32,10.54,9.00,0.33
ICICI Lombard General Insurance Company Ltd.,540716,ICICIGI,INE765G01017,Insurance,General Insurance,2022-09-05,"1,261.85",0.23,"1,071.00","1,675.00",805.00,"1,675.00",,,619.00,"1,675.00","62,052.55","61,717.81",0.14,4.96,3.57,-22.57,3.28,,,43.52,47.77,6.55,8.62,9.60,3.43,0.71,32.65,4.65,76.69,29.03,192.87,16.48,23.02,9.00,0.25
Indiabulls Housing Finance Ltd.,535789,IBULHSGFIN,INE148I01020,Financial,Housing Finance,2022-09-05,134.90,1.24,89.00,282.60,81.00,458.95,81.00,"1,440.00",81.00,"1,440.00","6,359.48","53,113.61",-1.42,11.40,10.03,-41.51,-33.48,-35.78,,5.38,7.42,0.37,0.70,14.74,-0.31,6.67,6.78,0.73,0.90,25.08,361.30,159.17,158.27,9.00,0.52
Symphony Ltd.,517385,SYMPHONY,INE225D01027,Consumer Discretionary,ACs & Refrigerators,2022-09-05,925.25,-0.81,828.00,"1,215.00",690.00,"1,529.65",690.00,"2,212.75",0.16,"2,212.75","6,472.77","6,362.60",-0.78,-0.44,-6.01,-4.36,-9.02,-6.21,17.73,45.25,60.74,7.45,10.92,3.96,-7.32,0.97,27.78,5.69,113.88,20.44,124.14,8.13,8.51,9.00,0.24
Thermax Ltd.,500411,THERMAX,INE152A01029,Capital Goods,Industrial Machinery,2022-09-05,"2,419.95",0.88,"1,302.00","2,537.50",570.00,"2,537.50",570.00,"2,537.50",2.53,"2,537.50","28,835.23","27,235.28",-2.92,16.66,17.10,68.95,34.26,22.30,17.34,87.74,61.96,8.12,4.54,2.13,24.47,0.37,47.24,4.28,88.80,27.60,298.16,28.84,30.29,9.00,0.05
Torrent Power Ltd.,532779,TORNTPOWER,INE813H01021,Energy,Electricity Distribution,2022-09-05,572.60,-0.83,415.25,610.00,231.95,610.00,207.70,610.00,45.00,610.00,"27,491.28","36,211.18",-0.65,7.71,22.99,17.76,28.38,21.39,13.78,36.68,14.20,2.63,1.62,8.95,7.17,1.57,8.56,1.56,8.68,15.59,217.33,65.90,-3.74,9.00,0.06
IndusInd Bank Ltd.,532187,INDUSINDBK,INE095A01012,Financial,Banking,2022-09-05,"1,108.00",0.66,763.20,"1,242.00",235.55,"1,596.55",235.55,"2,038.00",8.50,"2,038.00","85,846.87","64,081.52",3.58,5.50,19.87,10.39,-5.61,-7.87,13.38,15.84,24.14,1.74,2.05,36.26,0.80,0.77,4.80,2.73,5.15,69.92,636.43,215.22,126.03,8.50,0.11
LIC Housing Finance Ltd.,500253,LICHSGFIN,INE115A01026,Financial,Housing Finance,2022-09-05,425.55,1.79,291.75,462.50,185.25,542.45,185.25,684.55,4.60,794.10,"23,407.93","227,212.01",6.03,14.41,13.63,4.51,1.21,-8.85,5.86,7.65,9.84,0.91,1.11,7.94,0.73,2.00,12.60,1.15,-2.07,55.65,466.81,-224.38,72.81,8.50,0.08
Bharat Dynamics Ltd.,541143,BDL,INE171Z01018,Others,Others,2022-09-05,830.35,-0.55,368.15,904.95,145.30,904.95,,,145.30,904.95,"15,198.60","13,393.37",0.48,-1.21,4.35,110.06,44.92,,,27.10,19.25,4.98,2.59,7.14,2.39,1.00,14.52,4.64,28.70,30.59,166.46,28.90,21.28,8.30,0.08
Emami Ltd.,531162,EMAMILTD,INE548C01032,Consumer Staples,Household & Personal Products,2022-09-05,495.10,0.61,393.40,612.00,130.95,621.80,130.95,714.00,2.34,714.00,"21,836.93","21,823.80",1.64,7.65,15.29,-18.25,18.31,-2.01,11.64,26.15,52.10,10.14,9.93,3.64,1.07,1.62,20.85,6.60,33.92,18.93,48.82,14.59,12.09,8.00,0.19
Gujarat Alkalies & Chemicals Ltd.,530001,GUJALKALI,INE186A01019,Chemicals,Caustic Soda,2022-09-05,887.90,-0.48,448.50,"1,044.75",165.00,"1,044.75",165.00,"1,044.75",6.74,"1,044.75","6,521.20","6,630.70",-1.12,10.02,9.71,95.57,28.24,15.16,21.45,9.49,9.51,1.07,0.83,16.86,-1.77,1.13,5.19,1.56,15.48,93.62,833.55,57.35,36.14,8.00,0.15
Metropolis Healthcare Ltd.,542650,METROPOLIS,INE112L01020,Healthcare,Diagnostics Services,2022-09-05,"1,377.45",-1.81,"1,355.50","3,579.90",993.20,"3,579.90",,,904.85,"3,579.90","7,050.53","7,277.89",-2.94,-12.44,-16.21,-51.43,4.29,,,40.83,60.10,7.76,16.29,3.81,3.51,0.58,22.34,5.97,27.84,33.73,177.37,49.49,45.11,8.00,0.62
Reliance Industries Ltd.,500325,RELIANCE,INE002A01018,Energy,Oil Refineries & Marketing,2022-09-05,"2,569.80",1.55,"2,180.00","2,856.15",867.43,"2,856.15",771.78,"2,856.15",48.82,"2,856.15","1,738,725.14","1,833,670.16",-1.84,-0.08,-7.54,7.59,29.26,26.32,20.87,26.20,23.77,2.18,2.19,6.40,1.45,0.31,13.28,2.17,15.71,98.12,"1,180.26",163.57,-3.04,8.00,0.10
